;text;id;coder;code
1820481;"Hiermit verabschiedet sich @arminlaschet faktisch endgültig von der historischen Verantwortung Deutschlands. Er stellt sich gegen die Asylgewährung von Kriegsflüchtlingen. #LaschetDarfNichtKanzlerWerden
https://t.co/KCAUnhRupk";1996;5;
866312;@tw2xx01x5 Ich blicke gerade noch weiter in die Zukunft. Und die möglichen Szenarien, die ich erkennen kann, machen mir Angst...;3394;5;
1782198;All unsere Projekte zu Demokratiebildung, gegen Radikalisierung, für mehr Sichtbarkeit von Menschen mit Migrationsbiografien sind hohle Worte, wenn wir Entwicklungen wie die von El-Hassan nicht feiern, sondern sie Jüngeren als Rolemodel vorenthalten.;1972;5;
1693636;Mehr Lebensqualität durch Klimaneutralität. #KlimaschutzIstJetzt #AllesIstDrin https://t.co/Hmk2ZMpOKM;2936;5;
1821718;"Tja. #ZerstörungDerCDU 
https://t.co/7qpDHjqsEm";3141;5;
1825885;Die Union präsentiert 2 Wochen vor der Wahl neue Pläne - ohne Finanzierung. Und mehr muss man dazu eigentlich gar nicht sagen. https://t.co/vpAxReSPtj;3910;5;
1707553;Viele haben das brennende Flüchtlingslager #Moria gesehen, bald jede Woche gibt es Tote zwischen #Libyen, #Tunesien und #Italien. Doch 2020 kamen ~23000 MigrantInnen auf den #Kanaren an. Das sind fast zehnmal so viele wie 2019. Ich will nicht, dass hier ein neues Moria entsteht.;1899;5;
1213433;"Maßnahmen gegen Strafbares im digitalen Raum heißt in Deutschland: dämlichen Quatsch bis zum Sankt Nimmerleinstag fordern ohne irgendwann mal was wirklich Wirksames zu tun. 

Wir haben wohl nicht mal den Anspruch, was Besseres zu machen. Na ja. 

(Ich hab ihn übrigens) https://t.co/a9L6JOrwQx";4354;5;
551903;@JustaWorker5 @KuehniKev Ich glaube die Migrationspolitik von SW würde sich nicht von der SPD unterscheiden.;442;5;
697295;"@GundaWienke Es gab mehr als 30 Bewerber*innen. Die haben aber nach ihrer Absage aus formalen Gründen die Bewerbung zurückgezogen, damit die Namen nicht im Bericht stehen. Hierzu scheint es bei der Kommunikation an die Medien &amp; von denen selber Irritationen zu geben. https://t.co/SGGuoXbBy1";2352;5;
947653;"Das Wahlprogramm von @CDU und @CSU wurde heute übrigens von den Parteivorsitzenden vorgestellt und unterschrieben.
Einen Beschluss der Partei, Änderungen oder eine öffentliche Debatte wird es nicht geben. Auch irgendwie krass ?";2663;5;
1051120;"#Seehofer behauptet auf einer PK gerade, dass der #Spurwechsel zu einem #Pulleffekt führen würde. Dafür gibt es aber keine realen Hinweise oder Belege. Es macht müde und wütend.
#Asyl #Flucht";1034;5;
1354679;In #Malta werden geflüchtete Menschen gezwungen Toilettenwasser zu trinken. Malta ist ein #EU Staat. Diese brutale Politik muss beendet werden!;1482;5;
708844;@Gummiadler2 https://t.co/x4S0pTXMD4;3697;5;
1492180;"RT @KreuzAcht: Die #AfD will Deutschland vor JEDER Einwanderung abschotten.

Na ja, vor fast jeder:";1641;5;
577603;Danger Dan ft. Igor Levit ft. RTO - Das ist alles von der Kunstfreiheit ... https://t.co/2NW3dffEXx via @YouTube;4486;5;
1117110;@DrKnoedel ?;3806;5;
854689;Schabernack! #ArminKegelt https://t.co/tno4Kfmb8A;3760;5;
849188;"In #Magdeburg läuft unsere Plakat-Offensive mit wechselnden Motiven zur #Landtagswahl weiter auf Hochtouren. Hier steht beispielsweise unser Zugang zur sogenannten Flüchtlingskrise im Fokus. #LTW2021 
Unser Land - unsere Regeln! #AfD https://t.co/UyAGjCJn4U";821;5;
1603857;Ich freue mich auf die VMDO-Diskussionsrunde, heute ab 18 Uhr. Teilhabe, Zugehörigkeit, Zusammenleben. Darüber möchte der Verbund der sozial-kulturellen Migrantenvereine in Dortmund mit Bundestagskandidat*innen unserer Stadt sprechen. Livestream: https://t.co/x1pDHmPHlM https://t.co/f5IyADYKab;1781;5;
911801;"Deutsche müssten die Zugehörigkeit von eingewanderten Menschen zu Gesellschaft auch anerkennen, appelliert Bundespräsident Steinmeier. Deutschland sei ein Einwanderungsland geworden. 
https://t.co/eygIrQ80JF #Steinmeier #Integration #Einwanderung";886;5;
272610;Thanks @GretaThunberg for visiting #Luetzerath today, a village in danger of being destroyed for coal mining in the coming weeks. Thanks for supporting us in our struggle to save the village and defend the 1.5 degree limit! #AllVillagesRemain https://t.co/RmHLqubBaS;2919;5;
1476028;Wofür braucht die Partei der Besserverdienenden einen Sozialstaat?  Baerbocks Migrationspolitik gefährdet unseren Sozialstaat via @welt https://t.co/oCz3cqfl96;1614;5;
837321;"@strmsn Sehr guter Tipp! ?
Ich muss nicht viel sagen, nur in beiden versuchen, in beiden jeweils bestimmte Punkte mitzubekommen.";4429;5;
711497;@_Anke_V Nein ?;2838;6;
745574;"Warum sind #Mietaktivisten und #Mietegoisten eigentlich so unkommunikativ? Jedenfalls hat mich @christianbangel, laut seinem Profil ""Politischer Autor bei @zeitonline"", wohnhaft in Neukölln, aus unerfindlichen Gründen geblockt. 
Da er ein Hardcore-Fan des #Mietendeckel|s ist,
1/ https://t.co/3XAMgOuv0k";2779;6;
1782197;Ich hoffe wirklich, dass der @wdr sich hier zu einem Bekenntnis zu Deutschland als Einwanderungsgesellschaft durchringen kann, zu einer Moderatorin, die sich mit Ende 20 häufiger positionieren musste als so viele ihre privilegierten Kritiker*innen.;1971;6;
507717;Die #CDU verdrängt die letzten 8 Jahre aus ihrem kollektiven Gedächtnis. Es war vorrangig die Union, die die Asylkrise erst möglich machte und sich jedem Vorschlag der #AfD verweigerte, wie z.B. der, Leistungen an Asylbewerber in Sachwerte umzuwandeln. https://t.co/GQrTQ6we7h https://t.co/6ebFql3ayd;391;6;
1766488;@mburmester Auch wenn es total üblich ist, dass sie als Studierende oder auch gar nicht immatrikuliert sind für einen Großteil der tatsächlich geleisteten (Vor)Arbeit zur Diss.;4377;6;
290476;"#CDU-Bundesinnenminister #Seehofer sagt: ""Es zeichnet sich ab, dass die Migrationszahlen wieder deutlich steigen (.) Wir müssen etwas tun."" 

In einem normalen Land hätte die #bundesregierung längst etwas gegen illegale Massenmigration getan. https://t.co/XrbYGJrrjz";74;6;
1842211;Ich finde es schrecklich, dass jemand so bedroht und beschimpft wird und deshalb seine Bewerbung für eine Bundestagskandidatur zurückziehen muss. Das ist etwas, was uns als Demokraten und als Einwanderungsgesellschaft beschämen muss. https://t.co/GkIJFfsA0o;2017;6;
354055;"""Wir haben es satt, daß Sahra Wagenknecht die Berechtigung unserer Kämpfe als Genoss:innen mit Migrationsgeschichte, als Geflüchtete, als Menschen mit Rassismuserfahrung permanent in Frage stellt und im Ergebnis rassistische Erzählungen stärkt. Es reicht!""
https://t.co/vZfEWz5EIy";133;6;
1381298;"Was für ein herrlicher Sommertag! Genießt es. Und tut Gutes, denn heute wird gespendet. Die Tour D'Amour macht Halt im Molotow, Nobistor 14, und sammelt für die geflüchteten Menschen auf den griechischen Inseln! #LeaveNoOneBehind
10-18h - ich will Schlangen sehen. ? 1/5";1508;6;
1459561;"Gestern Vortrag in Cottbus mit Tim Krause 

Vorbild Japan; Wie gelingt die Migrationswende https://t.co/NIAQtsHnv6";1598;6;
378226;RT @DKluever: #Piraten fragen: Wo bleibt der ganze #Quellcode der #Luca-App. Versprochen war er für Ende März @OZlive @svz_de @ndrmv @Nordk.;3515;6;
1403773;"Re-Import von Kinderschändern aus #Afghanistan?
Diese CDU/SPD-Bundesregierung tickt doch nicht richtig! https://t.co/qt0kZEqsv4";1545;6;
790305;"10 Dinge, welche die #Union angeblich strikt ablehnt und denen sie in einer #Groko dann doch zustimmt...?
#DeutschlandGemeinsamMachen #spd https://t.co/wZcdZAuxnF";2317;6;
1485940;Das fängt ja gut an: So wollen die Grünen 200 Millionen Flüchtlinge nach Deutschland holen https://t.co/Rk1LRaS8CF;1632;6;
1344966;@jan_buehlbecker @spdde @NowaboFM @OlafScholz Du bist einfach großartig! Danke für die wunderbare Zeit - ich freu mich auf alles, was kommt!;2983;6;
1259190;RT @BR24: Zum Beginn der #Weltklimakonferenz stellt der Physiker Harald #Lesch im Gespräch mit dem #BR der Bundesrepublik ein schlechtes Ze.;2052;6;
364966;"@AndreasRiegerAr Kennst du den KoaVertrag? Dann schick mal rüber. Ich hab den nicht gesehen..

Die Journis brauchen Stories, ok, aber muss man sie alle mit verbreiten? Etwas mehr Zutrauen in unsere Leute bitte. :)";2734;6;
1655260;"""Die meisten Flüchtlinge hat immer noch das Mittelmeer aufgenommen"".

Dieser Satz eines Helfers beschreibt die zynische Flüchtlingspolitik der EU leider sehr treffend.

Es ist wieder passiert.

Tote nach Bootsunglück vor Tunesien https://t.co/MTuB9f0bl3";1831;6;
1325779;@starmiller @connor_larkin @PaulZiemiak @c_lindner Endlich ein Argument!;4464;6;
409274;RT @watch_union: Grundsätzlich daher weil mein privater Account nicht blockiert ist. Ist aber nicht Sinn der Sache. /TN;4499;6;
682981;@DieSpasTigerin @RolliFraeulein @outerspace_girl Doch, das haben sie. Es geht um Milliarden;2568;6;
611836;Mit #CDUCSU gibt es ein de-facto Tempolimit nur auf der Datenautobahn #triell;4154;6;
638216;@wlankabel7 Vor Afghanen haben sogar unsere arabischen Asylanten und Migranten Angst. Wir sollten mal weiter denken.;601;6;
1764917;Und da war sie, die letzte FDP Station für heute! Es war beeindruckend @HalakMuhanad persönlich zu begegnen . tausend Dank dafür! Hier ein Schnappschuss beim anschließenden Eis essen ? @nicole_ae_bauer   @fdpbay https://t.co/xYTwI0q0Do;3875;6;
1742057;"Beim #FachgesprächDigital zum Thema #Erwerbsmigration stellt er fest: ""Wir haben uns zu wenig mit der innereuropäischen Migration beschäftigt."" Erwerbsmigrantinnen und -migranten hätten genauso Förderbedarf wie Flüchtlinge. ""Wir wollen das Thema sichtbarer machen"", so Brinkhaus.";1948;6;
1114130;"+++HEUTE, 10h #Pressekonferenz mit @mnbeeko und @gb_proasyl zu den wichtigsten flüchtlingspolitischen Anliegen an die künftige #Bundesregierung 
?Familiennachzug beschleunigen&amp;gleichstellen
?Zugang zum Asylverfahren in der EU
?Evakuierung aus Afghanistan
?Keine AnKer-Zentren";1139;6;
1150714;"Eine Woche Hass und Hetze gegen Ungarn.
Doch in Ungarn werden keine Einheimischen von Asylbewerbern niedergestochen.";1253;6;
377565;@FinnBucken Danke! ?;3050;6;
1188301;@DLFNachrichten @DLF Die Welt ist im gleichen Eimer wie die CDU. Quasi ein Bericht aus erster Hand. ?;3374;6;
1003389;@__redcat Kurze Rückfrage: wie würdest du handeln?;2803;6;
